"problem","Vampire 5.0","Twee 2.6.0","E 3.3.0","CSE_E 1.7","Drodi 4.1.0","Toma 0.7","iProver 3.9.3","Vampire 4.9","CSI_Enigma 1.0.6"
"LCL038‑10","TMO‑Non","+34.69","+160.94","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","63.61"
"GRP694‑1","TMO‑Non","TMO‑Non","+45.98","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","33.44"
"GRP718‑1","+5.03","+2.50","+168.32","TMO‑Non","TMO‑Non","TMO‑Non","61.46","22.70","146.01"
"LAT165‑1","TMO‑Non","+49.99","+8.70","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","15.01","62.99"
"COL042‑10","+2.63","+28.62","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","59.48","4.83","TMO‑Non"
"LAT186‑10","TMO‑Non","+192.17","+2.32","+6.88","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","3.18"
"GRP719‑1","+123.30","+14.34","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","12.29","TMO‑Non"
"GRP690‑1","+57.17","+78.33","+34.05","+42.22","TMO‑Non","TMO‑Non","167.52","TMO‑Non","17.91"
"REL045‑1","+10.37","+5.47","+213.03","TMO‑Non","TMO‑Non","TMO‑Non","114.39","45.04","TMO‑Non"
"REL016‑3","+7.03","+1.89","+26.75","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","46.85","4.57"
"LCL054‑10","+166.88","+15.52","+5.84","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","237.67","29.54"
"LAT169‑1","+7.83","+14.07","+10.22","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","100.90"
"LAT147‑1","+2.48","+30.60","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","10.29","170.23"
"REL036‑1","+8.76","+8.86","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","115.49","7.29","121.89"
"LAT144‑1","+6.04","+8.80","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","110.43","6.96","TMO‑Non"
"LCL042‑10","+0.53","+4.43","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","3.78","0.61","5.91"
"LAT223‑10","TMO‑Non","+101.68","+6.88","+80.79","TMO‑Non","TMO‑Non","58.44","TMO‑Non","14.45"
"REL017‑1","+3.42","+2.22","+223.40","TMO‑Non","TMO‑Non","TMO‑Non","203.57","7.07","4.21"
"GRP664‑12","TMO‑Non","TMO‑Non","+21.60","100.25","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","112.55"
"GRP662‑1","TMO‑Non","TMO‑Non","+24.44","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","75.49"
"REL032‑2","+4.54","+0.95","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","77.86","3.38","TMO‑Non"
"GRP661‑1","TMO‑Non","+122.43","+23.63","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","77.57"
"LAT401‑1","+22.46","+82.07","+2.25","+22.54","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","49.78"
"LAT149‑1","+1.21","+26.81","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"GRP663‑1","TMO‑Non","TMO‑Non","+23.72","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","79.96"
"GRP666‑5","TMO‑Non","+170.66","+67.49","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"LCL890‑10","+57.11","+16.00","+33.29","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"KLE110‑10","+4.19","+141.85","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","7.85","1.71","35.83"
"REL016‑10","+6.40","+2.50","+124.70","TMO‑Non","TMO‑Non","TMO‑Non","162.49","5.80","4.11"
"LAT162‑1","+22.03","+33.77","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","58.42","22.17","TMO‑Non"
"REL037‑2","+23.59","+1.97","TMO‑Non","+115.55","TMO‑Non","TMO‑Non","TMO‑Non","5.51","14.77"
"GRP666‑4","TMO‑Non","+211.57","+90.12","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","123.70","TMO‑Non"
"GRP196‑1","TMO‑Non","+25.49","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"PLA007‑10","+3.56","TMO‑Non","TMO‑Non","TMO‑Non","+77.94","TMO‑Non","TMO‑Non","1.31","18.75"
"LAT400‑3","+28.67","TMO‑Non","+14.05","64.92","TMO‑Non","TMO‑Non","TMO‑Non","51.02","63.20"
"LCL341‑10","+0.78","+47.67","+108.62","TMO‑Non","TMO‑Non","TMO‑Non","2.22","1.41","TMO‑Non"
"REL036‑2","+21.54","+7.35","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","5.08","24.26"
"LAT190‑10","TMO‑Non","+97.60","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","TMO‑Non"
"GRP706‑1","+215.38","+58.36","+10.97","+194.12","TMO‑Non","TMO‑Non","TMO‑Non","9.95","34.22"
"GRP721‑1","TMO‑Non","+13.24","+198.43","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"LCL306‑10","+5.09","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","15.41","1.05","TMO‑Non"
"REL016‑1","+34.18","+1.79","+225.40","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","5.66","5.78"
"CSR065‑10","+3.67","TMO‑Non","TMO‑Non","+110.95","+3.70","TMO‑Non","TMO‑Non","6.95","9.56"
"SYN615‑10","+1.67","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","81.94","1.73","TMO‑Non"
"COL043‑1","+35.01","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","16.71","TMO‑Non"
"LAT158‑1","TMO‑Non","+35.16","+29.45","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","15.66"
"CSR049‑10","+4.30","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","2.49","4.47"
"REL032‑1","+2.50","+0.77","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","171.01","8.91","177.81"
"RNG027‑9","+5.21","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","6.37","TMO‑Non"
"LAT400‑1","+18.00","TMO‑Non","+8.43","73.94","TMO‑Non","TMO‑Non","TMO‑Non","54.16","TMO‑Non"
"GRP678‑1","+44.01","+113.12","+188.22","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","9.00","TMO‑Non"
"GRP692‑1","+157.39","TMO‑Non","+55.95","+181.48","TMO‑Non","TMO‑Non","TMO‑Non","151.26","81.42"
"REL038‑1","+36.04","+15.49","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","11.85","6.00"
"LAT141‑1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","72.77","TMO‑Non"
"LCL195‑10","+11.29","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","7.60","54.57"
"LCL224‑10","+5.95","+75.93","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","7.53","TMO‑Non"
"MVA003‑1","TMO‑Non","+26.92","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","TMO‑Non"
"GRP164‑1","TMO‑Non","+181.62","+144.75","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"ALG212‑10","+20.69","+13.50","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","61.56","TMO‑Non"
"LCL225‑10","+16.73","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","55.48","51.35"
"KLE122‑10","+65.75","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","234.10","26.86","TMO‑Non"
"GRP725‑1","+151.32","+48.51","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","73.17","TMO‑Non"
"RNG028‑5","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"LCL348‑10","+11.76","+76.50","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","172.99","3.52","TMO‑Non"
"RNG027‑7","+1.51","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"LAT065‑10","TMO‑Non","+101.55","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"LAT173‑1","TMO‑Non","+189.53","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"RNG028‑8","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","5.22","TMO‑Non"
"LCL148‑10","+131.19","+22.92","+47.79","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","77.85","TMO‑Non"
"LCL245‑10","+33.72","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","187.36","3.61","TMO‑Non"
"LAT139‑1","+37.88","+146.89","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","151.12","TMO‑Non"
