"problem","Vampire 5.0","E 3.3.0","iProver 3.9.3","Drodi 4.1.0","CSE_E 1.7","ConnectPP 0.6.1","Vampire 4.9","CSI_Enigma 1.0.6"
"VAM011+1","+9.30","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"CPP012+1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"CSE012+1","TMO‑Non","+133.40","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","30.01","81.07"
"CSI012+1","+5.67","+437.66","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","2.63","UNK‑Non"
"DRO012+1","+0.99","+166.49","+76.16","+16.64","TMO‑Non","+417.48","2.29","7.21"
"EEE012+1","TMO‑Non","+28.48","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","49.38"
"IPR012+1","+6.62","TMO‑Non","+98.01","+154.12","+176.62","TMO‑Non","4.85","TMO‑Non"
"VAM012+1","+55.22","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","10.13","TMO‑Non"
"CPP013+1","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"CSE013+1","+34.68","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"CSI013+1","+4.97","+437.75","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","3.20","UNK‑Non"
"DRO013+1","+2.65","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","0.70","TMO‑Non"
"EEE013+1","TMO‑Non","+43.58","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","33.07"
"IPR013+1","+6.47","TMO‑Non","+29.44","TMO‑Non","TMO‑Non","TMO‑Non","2.55","TMO‑Non"
"VAM013+1","+80.13","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","2.77","TMO‑Non"
"CPP014+1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"CSI014+1","+1.07","+190.50","+129.32","78.39","TMO‑Non","TMO‑Non","0.63","413.72"
"IPR014+1","+98.68","+60.85","204.17","TMO‑Non","+32.02","TMO‑Non","14.84","35.32"
"CPP015+1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"IPR015+1","+17.32","TMO‑Non","+23.01","TMO‑Non","TMO‑Non","TMO‑Non","3.70","144.01"
"VAM015+1","+48.68","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","21.97","TMO‑Non"
"IPR016+1","TMO‑Non","TMO‑Non","+231.75","TMO‑Non","TMO‑Non","TMO‑Non","7.77","TMO‑Non"
"VAM016+1","+24.45","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
