"problem","Vampire 5.0","E 3.3.0","iProver 3.9.3","CSE_E 1.7","Drodi 4.1.0","ConnectPP 0.6.1","hopCoP 0.1","Vampire 4.9","CSI_Enigma 1.0.6","Zipperpin 2.1.9999","cvc5 1.3.0","Prover9 1109a","SPASS‑SCL 0.1","LastButNotLeast 0","LisaTT 0.9.1"
"LCL981+1*","+75.85","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","46.94","37.20","UNK‑Non","TMO‑Non","189.03","TMO‑Non","GUP‑Non","UNK‑Non"
"LCL062+1*","+196.26","+5.31","TMO‑Non","+23.81","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","7.89","UNK‑Non","TMO‑Non","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non"
"LCL376+1*","TMO‑Non","+3.25","TMO‑Non","+12.29","+37.98","TMO‑Non","TMO‑Non","TMO‑Non","5.90","UNK‑Non","TMO‑Non","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non"
"NUN056+1","+3.88","+148.77","TMO‑Non","TMO‑Non","24.07","TMO‑Non","TMO‑Non","1.04","26.91","UNK‑Non","UNK‑Non","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non"
"LCL978+1*","+17.23","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","1.76","40.35","UNK‑Non","UNK‑Non","142.49","TMO‑Non","GUP‑Non","TMO‑Non"
"LCL688+1.005","+1.86","TMO‑Non","+185.65","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","1.92","TMO‑Non","UNK‑Non","TMO‑Non","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non"
"LCL680+1.005","+2.57","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","1.18","TMO‑Non","UNK‑Non","TMO‑Non","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non"
"SYN986+1.004","+2.34","+69.59","+5.38","+52.34","TMO‑Non","TMO‑Non","TMO‑Non","5.51","140.70","UNK‑Non","UNK‑Non","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non"
"LCL383+2*","+100.88","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","118.62","7.22","UNK‑Non","UNK‑Non","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non"
"GEO167+1","+13.11","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","1.87","TMO‑Non","UNK‑Non","89.93","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non"
