"problem","Vampire 4.9","Vampire 5.0","E 3.3.0","cvc5 1.3.0","Leo‑III 1.7.19"
"SLH0656^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0657^1","UNK‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0658^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","UNK‑Non"
"SLH0659^1","TMO‑Non","UNK‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0660^1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SLH0661^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0662^1","UNK‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0663^1","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","TMO‑Non"
"SLH0664^1","UNK‑Non","TMO‑Non","GUP‑Non","UNK‑Non","UNK‑Non"
"SLH0665^1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SLH0666^1","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non","UNK‑Non"
"SLH0667^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0668^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0669^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0670^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0671^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","GUP‑Non"
"SLH0672^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0673^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0674^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0675^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","GUP‑Non"
"SLH0676^1","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non"
"SLH0677^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0678^1","TMO‑Non","+6.82","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0679^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0680^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0681^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0682^1","UNK‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0683^1","TMO‑Non","UNK‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0684^1","TMO‑Non","UNK‑Non","UNK‑Non","TMO‑Non","TMO‑Non"
"SLH0685^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0686^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","UNK‑Non"
"SLH0687^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0688^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0689^1","TMO‑Non","UNK‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0690^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0691^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0692^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0693^1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SLH0694^1","TMO‑Non","UNK‑Non","UNK‑Non","UNK‑Non","TMO‑Non"
"SLH0695^1","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non","TMO‑Non"
"SLH0696^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0697^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0698^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","GUP‑Non"
"SLH0699^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0700^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0701^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0702^1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SLH0703^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0704^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0705^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","UNK‑Non"
"SLH0706^1","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non"
"SLH0707^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0708^1","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non"
"SLH0709^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0710^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0711^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0712^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0713^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0714^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0715^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0716^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0717^1","+0.35","+0.47","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0718^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0719^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0720^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0721^1","+4.97","+4.51","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0722^1","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non"
"SLH0723^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0724^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0725^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0726^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0727^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0728^1","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non"
"SLH0729^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0730^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0731^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0732^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0733^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0734^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0735^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","GUP‑Non"
"SLH0736^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0737^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0738^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0739^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0740^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0741^1","TMO‑Non","UNK‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0742^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0743^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0744^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0745^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0746^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0747^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0748^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0749^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0750^1","TMO‑Non","UNK‑Non","UNK‑Non","TMO‑Non","TMO‑Non"
"SLH0751^1","TMO‑Non","UNK‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0752^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0753^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0754^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0755^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0756^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0757^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0758^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0759^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0760^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0761^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0762^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0763^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","UNK‑Non"
"SLH0764^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0765^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0766^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0767^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","UNK‑Non"
"SLH0768^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0769^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0770^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0771^1","UNK‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0772^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0773^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","GUP‑Non"
"SLH0774^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0775^1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SLH0776^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0777^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0778^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0779^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0780^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0781^1","TMO‑Non","UNK‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0782^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","GUP‑Non"
"SLH0783^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0784^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0785^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0786^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0787^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","UNK‑Non"
"SLH0788^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","UNK‑Non"
"SLH0789^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","UNK‑Non"
"SLH0790^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0791^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","UNK‑Non"
"SLH0792^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","UNK‑Non"
"SLH0793^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","UNK‑Non"
"SLH0794^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0795^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0796^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0797^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","UNK‑Non"
"SLH0798^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0799^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","UNK‑Non"
"SLH0800^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0801^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0802^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0803^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0804^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0805^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0806^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0807^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0808^1","TMO‑Non","UNK‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0809^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0810^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0811^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0812^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0813^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0814^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0815^1","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non","TMO‑Non"
"SLH0816^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0817^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0818^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0819^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0820^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0821^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0822^1","UNK‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0823^1","TMO‑Non","UNK‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0824^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","UNK‑Non"
"SLH0825^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0826^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0827^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0828^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0829^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0830^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","GUP‑Non"
"SLH0831^1","UNK‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0832^1","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non","TMO‑Non"
"SLH0833^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","GUP‑Non"
"SLH0834^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","UNK‑Non"
"SLH0835^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","UNK‑Non"
"SLH0836^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0837^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0838^1","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non","TMO‑Non"
"SLH0839^1","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non","UNK‑Non"
"SLH0840^1","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non","TMO‑Non"
"SLH0841^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","UNK‑Non"
"SLH0842^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0843^1","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non","TMO‑Non"
"SLH0844^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0845^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0846^1","TMO‑Non","UNK‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0847^1","TMO‑Non","UNK‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0848^1","TMO‑Non","UNK‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0849^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0850^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0851^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0852^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0853^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0854^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0855^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0856^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0857^1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","GUP‑Non"
"SLH0858^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0859^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0860^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0861^1","TMO‑Non","UNK‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0862^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0863^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0864^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0865^1","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non","TMO‑Non"
"SLH0866^1","TMO‑Non","UNK‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0867^1","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non","TMO‑Non"
"SLH0868^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0869^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0870^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0871^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0872^1","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non","TMO‑Non"
"SLH0873^1","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","TMO‑Non"
"SLH0874^1","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","TMO‑Non"
"SLH0875^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0876^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0877^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0878^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0879^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0880^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0881^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0882^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0883^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0884^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0885^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0886^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0887^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0888^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0889^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0890^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0891^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0892^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0893^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0894^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0895^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0896^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0897^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0898^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0899^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0900^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0901^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0902^1","TMO‑Non","UNK‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0903^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0904^1","TMO‑Non","UNK‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0905^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0906^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0907^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0908^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0909^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0910^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0911^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0912^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0913^1","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non"
"SLH0914^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0915^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0916^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0917^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0918^1","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non","UNK‑Non"
"SLH0919^1","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","TMO‑Non"
"SLH0920^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0921^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0922^1","TMO‑Non","UNK‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0923^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0924^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0925^1","UNK‑Non","TMO‑Non","GUP‑Non","UNK‑Non","UNK‑Non"
"SLH0926^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0927^1","TMO‑Non","UNK‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0928^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0929^1","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non"
"SLH0930^1","TMO‑Non","UNK‑Non","UNK‑Non","UNK‑Non","TMO‑Non"
"SLH0931^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0932^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0933^1","UNK‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0934^1","TMO‑Non","UNK‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
