"problem","Vampire 4.9","Vampire 5.0","E 3.3.0","cvc5 1.3.0","Leo‑III 1.7.19"
"SLH0116^1","+3.45","+2.17","+1.02","1.20","TMO‑Non"
"SLH0117^1","+0.36","+0.17","+0.32","10.85","TMO‑Non"
"SLH0118^1","+0.42","+0.47","+0.44","1.34","TMO‑Non"
"SLH0119^1","+0.41","+0.12","+0.49","1.22","TMO‑Non"
"SLH0120^1","+0.36","+0.38","+0.36","1.30","TMO‑Non"
"SLH0121^1","+0.38","+0.12","+0.35","10.00","TMO‑Non"
"SLH0122^1","+0.46","+0.45","+0.28","1.38","TMO‑Non"
"SLH0123^1","+3.22","+2.15","+1.26","1.61","TMO‑Non"
"SLH0124^1","+0.52","+0.32","+0.47","1.23","TMO‑Non"
"SLH0125^1","+0.32","+0.41","+0.35","11.89","TMO‑Non"
"SLH0126^1","+0.45","+0.44","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0127^1","+0.61","+0.51","+0.97","UNK‑Non","TMO‑Non"
"SLH0128^1","+0.27","+0.33","+0.40","1.23","TMO‑Non"
"SLH0129^1","+0.29","+0.38","+1.05","7.50","TMO‑Non"
"SLH0130^1","+1.49","+1.94","+1.12","7.84","4.72"
"SLH0131^1","+3.50","+1.99","+0.38","1.03","TMO‑Non"
"SLH0132^1","+0.85","+0.96","+0.37","1.95","6.30"
"SLH0133^1","+3.36","+8.58","+10.09","TMO‑Non","TMO‑Non"
"SLH0134^1","+2.59","+2.11","+1.00","1.01","TMO‑Non"
"SLH0135^1","+0.68","+0.50","+1.00","1.79","TMO‑Non"
"SLH0136^1","TMO‑Non","TMO‑Non","+0.99","1.48","TMO‑Non"
"SLH0137^1","+0.99","+0.99","+1.00","1.04","TMO‑Non"
"SLH0138^1","+0.28","+0.48","+4.72","2.23","TMO‑Non"
"SLH0139^1","+0.37","+0.39","+2.41","1.22","TMO‑Non"
"SLH0140^1","+0.47","+0.44","+0.94","1.77","TMO‑Non"
"SLH0141^1","+1.05","+0.87","+1.11","1.31","TMO‑Non"
"SLH0142^1","+1.03","+0.98","+1.00","2.05","TMO‑Non"
"SLH0143^1","+0.96","+0.53","+1.06","7.65","TMO‑Non"
"SLH0144^1","+0.34","+0.61","+1.56","2.00","11.62"
"SLH0145^1","+3.07","+2.70","+0.42","1.71","TMO‑Non"
"SLH0146^1","+1.67","+2.65","+0.94","1.51","TMO‑Non"
"SLH0147^1","+1.18","+1.05","+11.72","1.99","UNK‑Non"
"SLH0148^1","+0.33","+0.38","UNK‑Non","3.00","TMO‑Non"
"SLH0149^1","+0.32","+0.10","+0.43","UNK‑Non","TMO‑Non"
"SLH0150^1","+0.35","+0.29","+2.46","1.67","TMO‑Non"
"SLH0151^1","+2.48","+3.69","+0.43","1.55","TMO‑Non"
"SLH0152^1","+2.22","+1.60","+1.02","2.81","TMO‑Non"
"SLH0153^1","+0.33","+0.43","+0.49","1.49","8.96"
"SLH0154^1","+0.44","+0.35","+0.32","UNK‑Non","TMO‑Non"
"SLH0155^1","+1.22","+0.95","+0.39","1.78","TMO‑Non"
"SLH0156^1","+0.49","+0.40","+0.45","1.09","TMO‑Non"
"SLH0157^1","+0.40","+0.39","+0.41","7.37","TMO‑Non"
"SLH0158^1","+1.69","+0.99","+0.39","1.56","TMO‑Non"
"SLH0159^1","+2.87","+4.38","+2.16","UNK‑Non","TMO‑Non"
"SLH0160^1","+1.75","+1.64","+0.86","TMO‑Non","TMO‑Non"
"SLH0161^1","+0.48","+0.46","+0.44","1.09","TMO‑Non"
"SLH0162^1","+1.43","+1.31","+0.37","1.41","TMO‑Non"
"SLH0163^1","+0.83","+2.84","+0.94","UNK‑Non","TMO‑Non"
"SLH0164^1","+0.13","+0.29","+0.37","TMO‑Non","TMO‑Non"
"SLH0165^1","+0.36","+0.39","+0.39","1.21","TMO‑Non"
"SLH0166^1","+0.52","+0.31","+0.77","1.54","TMO‑Non"
"SLH0167^1","+0.50","+0.43","+0.44","1.26","UNK‑Non"
"SLH0168^1","+1.63","+1.80","+0.92","TMO‑Non","10.81"
"SLH0169^1","+0.42","+0.30","+0.84","UNK‑Non","4.63"
"SLH0170^1","+0.31","+0.36","+1.29","1.61","TMO‑Non"
"SLH0171^1","TMO‑Non","TMO‑Non","+13.88","3.83","TMO‑Non"
"SLH0172^1","+0.52","+0.13","+0.86","0.90","TMO‑Non"
"SLH0173^1","+0.23","+0.16","+0.26","0.86","TMO‑Non"
"SLH0174^1","+0.30","+0.24","+1.02","0.89","TMO‑Non"
"SLH0175^1","+1.97","+1.27","+0.46","1.29","TMO‑Non"
"SLH0176^1","+0.98","+0.44","+1.81","1.67","TMO‑Non"
"SLH0177^1","+0.68","+0.41","+0.35","TMO‑Non","5.83"
"SLH0178^1","+0.36","+0.45","+1.54","1.87","TMO‑Non"
"SLH0179^1","+0.36","+0.16","+1.41","1.23","TMO‑Non"
"SLH0180^1","+0.31","+0.35","+0.40","2.31","TMO‑Non"
"SLH0181^1","+0.95","+0.86","+0.41","1.10","TMO‑Non"
"SLH0182^1","+1.50","+1.51","+0.35","1.15","TMO‑Non"
"SLH0183^1","+0.41","+0.16","+1.30","7.41","TMO‑Non"
"SLH0184^1","+0.44","+0.46","+4.19","2.00","8.99"
"SLH0185^1","+1.07","+0.75","+1.86","TMO‑Non","TMO‑Non"
"SLH0186^1","+0.46","+0.54","+5.38","1.41","TMO‑Non"
"SLH0187^1","+2.02","+7.04","+5.29","TMO‑Non","TMO‑Non"
"SLH0188^1","+0.24","+0.20","+3.17","7.79","TMO‑Non"
"SLH0189^1","+0.29","+0.42","+1.83","1.31","7.84"
"SLH0190^1","+1.72","+0.90","+0.37","1.41","TMO‑Non"
