phase,pair,position,label,wall_seconds,cpu_seconds,user_seconds,system_seconds,status,stdout_sha256,stdout_len,stderr_len
measurement,43,2,candidate,1.501859818,1.501509000,1.434531000,0.066978000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,44,1,candidate,1.499005797,1.498629000,1.440643000,0.057986000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,44,2,parent,1.491304891,1.490954000,1.408956000,0.081998000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,45,1,parent,1.499031218,1.498499000,1.443481000,0.055018000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,45,2,candidate,1.499058089,1.498646000,1.444658000,0.053988000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,46,1,candidate,1.516444003,1.516096000,1.462093000,0.054003000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,46,2,parent,1.505928306,1.505533000,1.456523000,0.049010000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,47,1,parent,1.506786290,1.506426000,1.443409000,0.063017000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,47,2,candidate,1.510705217,1.510317000,1.439302000,0.071015000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,48,1,candidate,1.508418190,1.507844000,1.426852000,0.080992000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,48,2,parent,1.524909449,1.524557000,1.460533000,0.064024000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,49,1,parent,1.503978881,1.503520000,1.440498000,0.063022000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,49,2,candidate,1.505921561,1.505361000,1.456382000,0.048979000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,50,1,candidate,1.494914782,1.494524000,1.431502000,0.063022000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,50,2,parent,1.512490783,1.512059000,1.438055000,0.074004000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,51,1,parent,1.489487124,1.489042000,1.420040000,0.069002000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,51,2,candidate,1.492994961,1.492576000,1.418597000,0.073979000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,52,1,candidate,1.486916700,1.486536000,1.413559000,0.072977000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,52,2,parent,1.510249488,1.509860000,1.431867000,0.077993000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,53,1,parent,1.506445265,1.506028000,1.441027000,0.065001000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,53,2,candidate,1.508335224,1.507948000,1.443950000,0.063998000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,54,1,candidate,1.499817046,1.499349000,1.436334000,0.063015000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,54,2,parent,1.508736050,1.508336000,1.443330000,0.065006000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,55,1,parent,1.512694266,1.512295000,1.438330000,0.073965000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
