phase,contract_id,min_side_literals,min_main_literals,min_positive_choices,records,problems,families,aggregate_ratio,p95_ratio,maximum_problem_median_ratio,problem_balanced_median_ratio,maximum_estimated_bytes,sample_eligible,calibration_gate
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,3,4,8,2385,10,8,11.091726295083467,7.105332063794335,107.64381520119225,15.94316065164566,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,3,4,16,616,8,6,16.791958420856723,8.629637481450073,142.6797900262467,25.466232357030886,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,3,4,32,23,3,3,32.718982936908084,14.051561365286856,192.70047543581617,43.171672077922075,56472,False,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,3,5,0,6773,14,12,12.663297270416495,9.71264367816092,114.9,26.027632913226135,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,3,5,4,3883,12,10,12.178035524254362,8.138050314465408,84.03965517241379,22.594894814030475,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,3,5,8,2358,10,8,11.114346459586578,7.149251959154595,128.98807749627423,16.15513161134285,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,3,5,16,614,8,6,16.802211749392978,8.629637481450073,142.6797900262467,25.466232357030886,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,3,5,32,23,3,3,32.718982936908084,14.051561365286856,192.70047543581617,43.171672077922075,56472,False,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,3,6,0,6217,14,12,12.59931357468841,9.343550446998723,114.9,25.583674557474943,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,3,6,4,3704,12,10,12.173064755707165,8.072043010752688,78.225,23.369438137435374,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,3,6,8,2288,10,8,11.045783655533242,7.123816204840407,135.26722925457102,15.78148679459213,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,3,6,16,605,8,6,16.735935372871307,8.629637481450073,176.768574908648,24.67226573812158,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,3,6,32,23,3,3,32.718982936908084,14.051561365286856,192.70047543581617,43.171672077922075,56472,False,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,3,7,0,3067,12,10,11.724686135256704,7.089492072023649,114.9,25.589553429027113,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,3,7,4,1929,9,7,11.24064041369065,6.7328707718993925,98.90499390986602,25.379159369527144,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,3,7,8,1261,9,7,9.698437875670345,6.385820045558087,142.6797900262467,18.338777979431338,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,3,7,16,420,7,5,15.23154816663363,8.64076332874287,176.768574908648,27.836121275483535,61976,True,False
