"problem","Vampire 5.0.1","Vampire 4.8","iProver 3.9.4","FMB4J 0.1","Mace4 2026‑6A","E 3.5.1","Drodi 4.1.1","ConnectPP 0.7.2"
"SWV482+1","+0.40","+0.90","+10.41","TMO","UNK","+0.29","+4.06","TMO"
"SWV238+1","+0.25","+8.62","+44.32","TMO","TMO","+5.78","TMO","TMO"
"KLE176+1","+0.25","+0.09","+1.84","+0.82","+0.13","TMO","+0.07","TMO"
"KLE177+1","+0.14","+0.13","+0.85","+1.23","+0.19","TMO","TMO","0.10"
"HWV077+1","+44.19","TMO","TMO","TMO","TMO","TMO","TMO","TMO"
"MGT108+1*","+1.20","+0.12","TMO","TMO","TMO","TMO","UNK","TMO"
"SWW953+1","TMO","+348.08","TMO","TMO","+3.50","TMO","TMO","TMO"
"SYO593+1","+12.61","+23.39","+42.85","TMO","GUP","+51.94","TMO","TMO"
"HWV082+1","+19.06","TMO","TMO","TMO","GUP","TMO","TMO","TMO"
"SYO603+1","+304.01","TMO","TMO","TMO","GUP","TMO","TMO","TMO"
"HWV063+1","+709.18","TMO","TMO","TMO","TMO","TMO","TMO","TMO"
"SWW475+1","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO"
"PLA041+1","+290.94","+683.85","TMO","TMO","TMO","TMO","TMO","TMO"
"HWV042+2","+239.16","+474.60","+57.90","TMO","TMO","TMO","TMO","TMO"
"HWV062+1","+32.42","+301.08","TMO","+114.64","TMO","TMO","TMO","TMO"
"SYO586+1","+419.21","TMO","TMO","TMO","GUP","TMO","TMO","TMO"
"HWV119+1","+15.12","+60.72","TMO","TMO","TMO","TMO","TMO","TMO"
"HWV054+1","+57.65","TMO","TMO","TMO","GUP","TMO","TMO","TMO"
"HWV122+1","+84.96","+169.14","TMO","TMO","TMO","TMO","TMO","TMO"
"HWV048+2","+189.00","+423.87","+790.64","TMO","TMO","TMO","TMO","TMO"
"SYO590+1","+726.12","+343.12","TMO","TMO","GUP","TMO","TMO","TMO"
"HWV049+1","+230.12","+309.12","+798.52","TMO","TMO","TMO","TMO","TMO"
"LCL911+1","+0.11","+0.10","+1.88","+0.89","TMO","TMO","+34.39","TMO"
"NUN091+1","+0.17","TMO","TMO","TMO","TMO","TMO","TMO","TMO"
"GRP734+1","+460.54","TMO","TMO","TMO","TMO","TMO","TMO","TMO"
"LCL907+1","+0.16","+0.18","+2.57","+0.80","+3.64","TMO","+0.15","TMO"
"LCL912+1","+0.13","+0.09","+0.87","+0.64","TMO","TMO","+6.44","TMO"
"HWV080+1","+34.87","TMO","TMO","TMO","GUP","TMO","TMO","TMO"
"HWV120+1","+39.10","+153.91","TMO","TMO","TMO","TMO","TMO","TMO"
"HWV053+1","+11.43","+46.59","TMO","TMO","GUP","TMO","TMO","TMO"
"HWV121+1","+39.24","+285.34","TMO","TMO","TMO","TMO","TMO","TMO"
"HWV075+1","+100.78","TMO","TMO","TMO","GUP","TMO","TMO","TMO"
"HWV049+2","+180.27","TMO","+862.57","TMO","TMO","TMO","TMO","TMO"
"HWV067+1","+138.36","TMO","TMO","TMO","TMO","TMO","TMO","TMO"
"HWV074+1","+18.85","+12.56","TMO","TMO","GUP","TMO","TMO","TMO"
"HWV048+1","+112.05","+355.48","+651.75","TMO","TMO","TMO","TMO","TMO"
