"problem","Vampire 5.0.1","Vampire 5.0","E 3.5.1","CSI_PP 1.0","iProver 3.9.4","Zipperpin 2.1.9999","LisaST 0.9","Drodi 4.1.1","Prover9 2026‑6A","Prover9 1109a","FindProof 0.1","mrs 0.2.0","SUPr 1.0","ConnectPP 0.7.2","SATResetCoP 1.0","VIP 1.718","SPASS‑SCL 0.1.1"
"COM131+1","+2.19","+3.65","+0.88","+1.12","+123.46","UNK","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","UNK","TMO","GUP"
"ITP006+2","+1.29","+1.15","+1.85","+0.77","+2.26","+3.87","+9.08","+7.44","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"COM136+1","+1.50","+12.84","+0.60","+0.70","+164.67","+129.85","+2.90","TMO","TMO","TMO","TMO","UNK","UNK","TMO","TMO","TMO","GUP"
"SWW374+1","+2.23","+1.06","+6.24","+2.40","TMO","+57.41","TMO","TMO","+82.93","TMO","TMO","TMO","UNK","TMO","UNK","TMO","GUP"
"SCT120+1","+1.85","+0.78","+92.55","+32.50","TMO","+42.32","+5.57","+20.14","+106.57","+52.84","TMO","TMO","UNK","TMO","UNK","TMO","GUP"
"GEO308+1","+4.15","+0.67","TMO","UNK","+6.46","UNK","TMO","+1.51","TMO","TMO","TMO","TMO","UNK","TMO","UNK","TMO","GUP"
"GEO307+1","+2.51","+0.65","TMO","UNK","+11.59","UNK","TMO","+0.33","TMO","TMO","TMO","TMO","UNK","TMO","UNK","TMO","GUP"
"GEO321+1","+4.33","+2.73","TMO","UNK","+5.23","UNK","TMO","+1.76","TMO","TMO","TMO","TMO","UNK","TMO","UNK","TMO","GUP"
"ALG213+1","+24.62","+34.49","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","UNK","TMO","GUP"
"SEV673+1*","+4.15","+1.56","+20.91","+9.10","133.95","+70.28","+66.14","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","GUP"
"SWX240_1*","+41.70","+1.34","+0.90","+0.84","+144.75","UNK","+72.93","+21.96","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"SEV655+1*","+3.14","TMO","+133.57","+58.10","TMO","+147.10","TMO","TMO","UNK","TMO","TMO","TMO","UNK","TMO","UNK","TMO","GUP"
"SWX220+1*","+1.37","+0.49","+10.33","+97.08","+2.24","+4.89","+4.40","+1.06","+70.64","+13.29","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"NUM639+4","+1.88","+3.19","+15.71","+20.02","TMO","UNK","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
