"problem","Vampire 5.0.1","Vampire 5.0","Twee 2.7","FindProof 0.1","CSI_PP 1.0","E 3.5.1","Prover9 2026‑6A","iProver 3.9.4","Drodi 4.1.1","mrs 0.2.0"
"NUM284‑10.014","+35.29","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO"
"LCL927‑10","TMO","TMO","+55.85","TMO","TMO","TMO","TMO","TMO","TMO","TMO"
"LCL395‑10","+17.82","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO"
"LCL351‑10","+8.56","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK"
"GRP164‑1","TMO","TMO","+156.08","TMO","TMO","TMO","TMO","TMO","TMO","UNK"
"LCL278‑10","+8.52","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK"
"ALG213‑10","+20.62","+29.14","+20.30","+164.07","TMO","TMO","TMO","TMO","TMO","TMO"
"LCL304‑10","+4.68","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO"
"LCL263‑10","+9.40","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK"
"ROB031‑2","TMO","+77.72","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO"
"ALG212‑10","+22.87","+101.54","+18.13","+138.10","TMO","TMO","TMO","TMO","TMO","TMO"
"SWV234‑10","+77.14","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK"
"ROB026‑1","TMO","TMO","TMO","TMO","TMO","TMO","+104.36","TMO","TMO","TMO"
"PLA015‑10","+13.82","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK"
"LCL375‑10","+4.36","TMO","TMO","TMO","+124.08","TMO","TMO","TMO","TMO","TMO"
"LAT173‑1","+148.28","+165.59","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO"
"LAT229‑10","+3.42","TMO","+167.28","TMO","TMO","TMO","TMO","TMO","TMO","UNK"
"KLE152‑10","+39.50","+75.58","TMO","+71.46","TMO","TMO","TMO","TMO","TMO","UNK"
"PLA008‑10","+8.71","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK"
