"problem","Vampire 5.0.1","Vampire 5.0","Zipperpin 2.1.9999","E 3.5.1","Leo‑III 1.8.0","LEO‑II 1.7.0"
"NUN025^3","+0.42","+0.35","+0.74","+0.52","+4.07","GUP"
"SEU749^1","+3.43","+2.08","+105.92","+18.29","TMO","GUP"
"ITP110^1","+0.75","+0.67","+0.84","TMO","TMO","GUP"
"SWV446^1","+2.94","+1.23","+35.25","+0.70","+65.11","+9.54"
"SYO544^1","+0.69","+3.21","+6.96","+0.61","TMO","TMO"
"SEU742^1","+1.16","+0.79","+2.42","+18.46","TMO","GUP"
"ITP100^1","+0.99","+0.51","+0.62","+0.58","TMO","GUP"
"SEU645^2","+0.40","+0.68","+7.91","+0.41","+2.64","TMO"
"SEU639^2","+0.96","+0.66","+4.45","+6.26","+2.44","TMO"
"SEU691^2","+0.87","+0.73","+3.08","+0.46","TMO","TMO"
"ITP150^1","+2.20","+2.29","+8.27","+0.78","+18.15","+8.78"
"ITP001^4","+0.64","+0.46","+0.76","+0.47","+3.85","GUP"
"SEU675^1","+1.46","+1.74","+18.14","+18.49","TMO","GUP"
"ITP269^1","+12.79","+11.96","+11.45","+27.61","TMO","GUP"
"SEU657^1","+1.49","+6.86","+2.53","+0.99","TMO","GUP"
"SEU776^1","+2.34","+3.75","+39.67","+2.16","TMO","GUP"
"ITP156^1","+0.64","+0.76","+2.13","+0.39","TMO","GUP"
"ITP084^1","+0.80","+1.84","+7.35","+0.50","TMO","GUP"
"ITP085^1","+0.64","+1.33","+10.44","+0.64","TMO","GUP"
"LCL872^1","+0.45","+0.64","+1.81","+179.99","TMO","+0.64"
"SYO208^5","+0.68","+0.53","+0.78","+0.48","+3.05","GUP"
"LCL945^9","+85.37","+3.15","+7.85","+39.55","TMO","TMO"
"GEG014^1","+0.90","+0.70","+11.73","+61.17","+19.00","GUP"
"SWX165^1*","+1.11","+1.05","+3.31","+0.50","TMO","GUP"
"SWX178^1*","+0.52","+0.62","+89.84","+0.62","+121.81","GUP"
"SWX179^1*","+0.62","+0.75","TMO","+3.99","+159.84","GUP"
"SWX175^1*","+0.47","+0.52","+47.90","+3.77","TMO","GUP"
"SWX157^1*","+1.08","+3.46","+86.22","+0.76","TMO","GUP"
"SWX155^1*","+1.60","+0.97","+1.54","+0.75","+6.11","GUP"
"SWX160^1*","+0.74","+1.92","+82.35","+0.54","TMO","GUP"
"SWX184^1*","+14.86","+42.17","+9.59","+0.69","TMO","GUP"
"SWX183^1*","+1.26","+38.19","+9.39","+0.38","TMO","GUP"
"SWX167^1*","+1.15","+4.48","+18.18","+1.08","TMO","GUP"
"SWX172^1*","+4.06","+5.01","+87.85","+0.66","TMO","GUP"
"ITP147^1","+0.63","+0.77","+11.77","+19.92","TMO","GUP"
"ITP076^1","+0.49","+0.56","+1.45","TMO","+52.13","GUP"
"ITP210^3","+12.39","+16.53","+4.18","+7.92","+4.22","GUP"
"ITP004^2","+0.88","+1.95","+5.54","+0.45","+17.41","TMO"
"ITP246^1","+6.75","+9.89","+12.02","+25.69","TMO","GUP"
"ITP141^1","+1.87","+1.13","+9.47","+19.14","TMO","GUP"
"ALG247^2","+1.01","+0.63","+0.89","TMO","+3.73","TMO"
"ITP015^2","+7.83","+6.00","+20.20","+6.15","TMO","+56.76"
"SEU968^5","+3.57","+3.06","+164.38","+0.55","+119.07","TMO"
"SEU665^1","+1.34","+1.62","+19.94","+1.10","TMO","GUP"
"ITP280^3","+12.78","+20.90","+10.78","+36.61","TMO","GUP"
"MSC007^1.003.004","+0.68","+0.66","+19.54","+0.52","+6.21","TMO"
"LCL460^7","+2.37","+6.37","+37.89","+6.63","TMO","TMO"
"SEU764^1","+54.61","+3.37","+16.69","TMO","TMO","GUP"
"ITP225^1","+6.25","+10.44","+5.73","+9.55","TMO","GUP"
"ALG251^3","+0.95","+0.91","+4.96","+0.47","+19.50","TMO"
"SEU655^2","+2.18","+0.56","+1.92","+0.48","TMO","TMO"
"NUM639^4","+1.02","+0.60","+1.77","+0.61","TMO","GUP"
"ITP246^3","+12.26","+19.22","+23.38","+26.22","TMO","GUP"
"SEU630^1","+1.25","+1.41","+9.32","+32.51","TMO","GUP"
"SEU490^1","+1.42","+0.64","+7.78","+28.45","TMO","GUP"
"ITP243^3","+5.04","+18.88","+7.82","+55.33","TMO","GUP"
"SEU743^1","+8.01","+52.42","+17.01","+19.39","TMO","GUP"
"SEU938^5","+2.76","+0.47","+1.50","+0.34","+21.22","GUP"
"SEV041^5","+2.95","+1.23","+3.98","TMO","+86.49","+13.51"
"ALG251^2","+0.95","+0.69","+4.64","+0.58","+4.09","+2.83"
"COM024^5","+0.57","+6.97","+0.80","+0.50","+4.13","TMO"
"SWX170^1*","+4.20","+4.05","+88.95","+0.84","TMO","GUP"
"SWX168^1*","+4.38","+5.90","+88.41","+0.59","TMO","GUP"
"SWX166^1*","+2.46","+3.53","+88.14","+0.81","TMO","GUP"
"SWX162^1*","+0.96","+1.04","+88.41","+0.60","TMO","GUP"
"SWX171^1*","+8.68","+11.03","+88.87","+0.91","TMO","GUP"
"SWX161^1*","+1.24","+7.62","+7.56","+0.91","TMO","GUP"
"SWX169^1*","+10.68","+3.96","+87.81","+0.67","TMO","GUP"
"SWX156^1*","+1.20","+8.41","+17.09","+0.85","TMO","GUP"
"ITP185^1","+0.67","+0.85","+10.26","TMO","TMO","GUP"
"SEU481^1","+1.42","+0.89","+6.95","+0.46","TMO","GUP"
"SYO246^5","+0.44","+0.54","+4.65","+0.67","TMO","+0.54"
"NUM654^4","+4.54","+97.29","+2.75","+0.53","TMO","GUP"
"ITP019^5","+26.33","+56.55","+11.73","+8.85","TMO","GUP"
"ITP011^1","+1.20","+9.39","+13.71","+0.99","TMO","TMO"
"ITP278^1","+12.39","+14.41","+18.78","TMO","TMO","GUP"
"ITP262^1","+14.51","+11.68","+91.34","+37.58","TMO","GUP"
"ALG292^5","+65.34","+52.72","+83.66","TMO","TMO","TMO"
"SEU953^5","+0.58","+50.16","+1.01","+0.43","+3.50","TMO"
"NUM656^4","+1.26","+4.16","+3.33","+0.64","TMO","GUP"
"ITP256^1","+11.15","+7.72","+20.26","+39.98","TMO","GUP"
"ITP208^3","+8.46","+24.29","+33.66","+24.65","GUP","GUP"
"NUM782^4","+3.94","+1.67","+1.13","+0.51","TMO","GUP"
"NUM726^4","+2.98","+3.31","+1.80","+0.94","TMO","GUP"
"SEU716^1","+0.75","+1.20","+5.16","+1.96","TMO","GUP"
"SWX163^1*","+14.78","+8.50","+88.44","+0.90","TMO","GUP"
"SWX164^1*","+5.22","+6.79","+88.03","+0.65","TMO","GUP"
"SWX182^1*","+1.16","+1.32","TMO","TMO","TMO","GUP"
"ITP009^1","+21.03","+51.59","+18.25","+0.49","TMO","TMO"
"ITP012^4","+46.01","+36.18","+4.85","+22.29","+17.99","GUP"
"ITP158^1","+2.76","+4.15","+43.13","+2.07","TMO","GUP"
"SYO069^4.003","+20.45","+7.42","+17.30","TMO","TMO","TMO"
"SYO069^4.002","+7.68","+7.87","+6.07","TMO","TMO","TMO"
"SEU701^2","+23.21","+3.20","+7.48","TMO","TMO","GUP"
